date,title,where,link
2020.01.09.,"“사스 아닌 신종 코로나바이러스” 중국, 우한 폐렴 잠정 판정",스포츠경향,http://sports.khan.co.kr/news/sk_index.html?art_id=202001092128003&sec_id=560101&pt=nv
2020.01.09.,"中, 우한 폐렴 “사스 아닌 신종 코로나바이러스” 잠정 판정",헤럴드경제언론사,http://news.heraldcorp.com/view.php?ud=20200109000769
2020.01.09.,"中 원인불명 폐렴, '신종 코로나바이러스' 잠정 판정...코로나바이러스 뭐길래?",문화뉴스,http://www.mhns.co.kr/news/articleView.html?idxno=370513
2020.01.09.,중국 ‘신종 코로나 바이러스’ 주장…비밀주의 여전,KBS,http://news.kbs.co.kr/news/view.do?ncd=4359346&ref=A
2020.01.09.,‘우한 폐렴’ 신종 코로나 바이러스…위험성과 예방법은?,KBS언론사,http://news.kbs.co.kr/news/view.do?ncd=4359348&ref=A
2020.01.09.,"중국 원인불명 폐렴, '신종 코로나바이러스' 잠정 판정...""사스-메르스와는 달라""",뉴스인사이드,http://www.newsinside.kr/news/articleView.html?idxno=1056692
2020.01.09.,[아주경제 오늘의 뉴스 종합]中 우한 원인불명 폐렴은 신종 코로나바이러스 外,아주경제,http://www.ajunews.com/view/20200109221842219
2020.01.10.,"'中 원인 불명 폐렴', 신종 코로나 바이러스 잠정 결론",경북일보,http://www.kyongbuk.co.kr/news/articleView.html?idxno=2026906
2020.01.10.,"미, 유엔에 ""솔레이마니 사살은 자위적 조치""…중 폐렴 '신종 코로나 바이러스' 잠정 결론",VOA,https://www.voakorea.com/a/5238746.html
2020.01.10.,中 집단폐렴 원인은 신종 코로나 바이러스,동아일보,http://www.donga.com/news/article/all/20200110/99164966/1
2020.01.10.,"중국 원인불명 폐렴, 사스-메르스 일으킨 '코로나 바이러스' 가능성 제기됐다",톱스타뉴스,http://www.topstarnews.net/news/articleView.html?idxno=718985
2020.01.10.,中 집단 폐렴 ‘신종 코로나’로 잠정 판정… 국내 환자는 호전,국민일보언론사,http://news.kmib.co.kr/article/view.asp?arcid=0924117505&code=11132000&cp=nv
2020.01.10.,中 “우한 집단폐렴은 신종 코로나바이러스”,서울신문언론사,https://www.seoul.co.kr/news/newsView.php?id=20200110009024&wlog_tag3=naver
2020.01.10.,中 폐렴 “사스 아닌 신종 코로나바이러스” 잠정 판정,SBS,https://cnbc.sbs.co.kr/article_hub/10000968849?division=NAVER
2020.01.10.,‘우한 폐렴’ 신종 코로나바이러스란?…“국내 의심환자 호전”,KBS,http://news.kbs.co.kr/news/view.do?ncd=4359502&ref=A
2020.01.10.,돌연변이로 힘 키우는 코로나바이러스…6일까지 생존,뉴스1,http://news1.kr/articles/?3813303
2020.01.10.,"中 ""폐렴 원인은 신종 코로나 바이러스""…국내 증상자 호전",SBS,https://news.sbs.co.kr/news/endPage.do?news_id=N1005598493&plink=ORI&cooper=NAVER
2020.01.10.,'中 폐렴' 사스·메르스와 다른 신종 코로나바이러스…위험성·예방법은?,서울파이낸스,http://www.seoulfn.com/news/articleView.html?idxno=368419
2020.01.10.,[지금 세계는] 중국 ‘신종 코로나 바이러스’ 주장…비밀주의 여전,KBS,http://news.kbs.co.kr/news/view.do?ncd=4359548&ref=A
2020.01.10.,'집단 공포' 일으킨 中 폐렴…원인 지목된 신종 코로나 바이러스란,한국경제언론사,https://www.hankyung.com/life/article/2020011070407
2020.01.10.,中 우한 폐렴도 코로나바이러스…사람간 전파·예방법·증상은?,부산일보언론사,http://www.busan.com/view/busan/view.php?code=2020011007581344260
2020.01.10.,중국 원인불명 폐렴…'신종 코로나' 잠정 판명,MBC,https://imnews.imbc.com/replay/2020/nwtoday/article/5649361_32531.html
2020.01.10.,중국 폐렴 '신종 코로나바이러스' 잠정결론…백신 없어,JTBC,http://news.jtbc.joins.com/article/article.aspx?news_id=NB11928826
2020.01.10.,"中, 원인불명 폐렴은 '코로나바이러스'로 예비 지정",메디칼업저버,http://www.monews.co.kr/news/articleView.html?idxno=207577
2020.01.10.,"WHO ""中 코로나바이러스 감염 대처 능력은 새로운 성과""",메디칼업저버,http://www.monews.co.kr/news/articleView.html?idxno=207578
2020.01.10.,‘우한 폐렴’ 신종 코로나바이러스란?…“국내 의심환자 호전”,KBS,http://news.kbs.co.kr/news/view.do?ncd=4359607&ref=A
2020.01.10.,신종 코로나바이러스 의심환자 현황,중도일보,http://www.joongdo.co.kr/main/view.php?key=20200110010003589
2020.01.10.,[핫이슈 키워드] 우크라이나 여객기·코로나바이러스·한국 축구·해리 왕자·검찰 인사,SBS,https://cnbc.sbs.co.kr/article_hub/10000968876?division=NAVER
2020.01.10.,"""우한 원인불명 페렴"", 신종 코로나바이러스 잠정 결론",내외뉴스통신,http://www.nbnnews.co.kr/news/articleView.html?idxno=357671
2020.01.10.,中 우한 휩쓴 신종 코로나… “사스와 달리 전파력 낮을듯”,조선일보,https://news.chosun.com/site/data/html_dir/2020/01/10/2020011001131.html?utm_source=naver&utm_medium=original&utm_campaign=news
2020.01.10.,"홍콩대 교수 ""신종 코로나바이러스,치명적 '베타그룹'에 속한 듯""",뉴시스,http://www.newsis.com/view/?id=NISX20200110_0000885016&cID=10101&pID=10100
2020.01.10.,"中, ""원인불명 '우한 폐렴', 신종 코로나바이러스"" 판정",Queen,http://www.queen.co.kr/news/articleView.html?idxno=325562
2020.01.10.,"[특징주]피씨엘, 중국 폐렴 코로나바이러스 판명으로 상승세",NSP통신,http://www.nspna.com/news/?mode=view&newsid=404318
2020.01.10.,중국 ‘신종 코로나 바이러스’ 주장…비밀주의 여전,KBS,http://news.kbs.co.kr/news/view.do?ncd=4359647&ref=A
2020.01.10.,"[노영희의출발새아침] 中 폐렴 신종 코로나바이러스 국내증상자 1명, 접촉자는?",YTN,https://www.ytn.co.kr/_ln/0103_202001101030589046
2020.01.10.,중국 집단폐렴 원인 '신종 코로나바이러스'란?,머니투데이,http://news.mt.co.kr/mtview.php?no=2020011009592521004
2020.01.10.,"中 폐렴 신종 코로나바이러스 국내증상자 1명, 접촉자는?",YTN라디오,https://radio.ytn.co.kr/program/?f=2&id=67282&s_mcd=0214&s_hcd=01
2020.01.10.,"영화 '컨테이젼', '코로나 바이러스' 맞물려 편성…""전염병 이면 인간군상""",이투데이,http://www.etoday.co.kr/news/section/newsview.php?idxno=1843771
2020.01.10.,[자막뉴스] ‘우한 폐렴’ 신종 코로나바이러스란?…“국내 의심환자 호전”,KBS,http://news.kbs.co.kr/news/view.do?ncd=4359725&ref=A
2020.01.10.,"우한 원인 불명 폐렴 병원체, ‘신종 코로나 바이러스’로 잠정 판명",인민망,http://kr.people.com.cn/n3/2020/0110/c203281-9647687.html
2020.01.10.,"中 폐렴원인, 신종 ‘코로나바이러스’…백신 개발은 언제?",SBS,https://cnbc.sbs.co.kr/article_hub/10000968917?division=NAVER
2020.01.10.,‘우한 폐렴’ 신종 코로나바이러스란?…“국내 의심환자 호전”,KBS,http://news.kbs.co.kr/news/view.do?ncd=4359751&ref=A
2020.01.10.,‘신종 코로나’ 치명성 아직 규명안돼… 경계 유지,문화일보,http://www.munhwa.com/news/view.html?no=2020011001070903311001
2020.01.10.,"중국 “우한 집단폐렴, 원인은 신종 코로나바이러스”",민중의소리,https://www.vop.co.kr/A00001460300.html
